,Layer,Sample_Index,Exhaustive_p,data_aware_p,data_aware_error,data_aware_n,data_unaware_p,data_unaware_error,data_unaware_n,date_per_layer_p,date_per_layer_error,date_per_layer_n
63,6,3,1.2373250325520841,0.012458464851262268,0.003665941304629368,5852.0,0.01233028539761707,0.00039009617347949773,115488.0,0.01131414064669646,0.0021152535413745963,14954.0
64,6,4,1.2373250325520841,0.011741479634247714,0.0035601824454385435,5852.0,0.012494804655029095,0.00039265731021188296,115488.0,0.01154153203059257,0.0021361582688866226,14954.0
65,6,5,1.2373250325520841,0.012480833697664782,0.00366918932317646,5852.0,0.012338944305901916,0.0003902314108197203,115488.0,0.012302525566959339,0.00220460908431472,14954.0
66,6,6,1.2373250325520841,0.012394244614816348,0.0036565994859970637,5852.0,0.012468827930174564,0.00039225408926327855,115488.0,0.012557718367356087,0.0022270692016461003,14954.0
67,6,7,1.2373250325520841,0.012163995457178554,0.0036228979956523144,5852.0,0.012590052646162378,0.00039413207467330205,115488.0,0.012055123803033481,0.002182602643541995,14954.0
68,6,8,1.2373250325520841,0.012913779111906951,0.003731468482325138,5852.0,0.012477486838459412,0.00039238854467294273,115488.0,0.012681793534282953,0.0022379037028686074,14954.0
69,6,9,1.2373250325520841,0.012512122471598781,0.003673727472730404,5852.0,0.012252355223053481,0.0003888768126296047,115488.0,0.01262180838320455,0.00223267258418119,14954.0
70,7,0,0.7024570041232636,0.007951698626417768,0.0024637460414310653,8404.0,0.0070656297420333795,0.0002961513077532086,189792.0,0.0074888079652034555,0.0017242769269004059,15752.0
71,7,1,0.7024570041232636,0.006932358687668151,0.00230159816630523,8404.0,0.007265848929354237,0.0003002877446156066,189792.0,0.007064201404089045,0.0016750396204524196,15752.0
72,7,2,0.7024570041232636,0.007259181494016318,0.0023548396606541924,8404.0,0.0070656297420333795,0.0002961513077532086,189792.0,0.00753804134436974,0.001729892658051153,15752.0
73,7,3,0.7024570041232636,0.006938095072921372,0.002302543581864662,8404.0,0.006633577811498901,0.0002870163233161056,189792.0,0.006634857645338669,0.0016236904119466924,15752.0
74,7,4,0.7024570041232636,0.007248151371711209,0.0023530629962549084,8404.0,0.006928637666498059,0.0002932865178759175,189792.0,0.007976968857785215,0.0017791509182926277,15752.0
75,7,5,0.7024570041232636,0.0067908352568070325,0.0022781458841394744,8404.0,0.007065629742033382,0.00029615130775320864,189792.0,0.006018693838402842,0.0015469390322492144,15752.0
76,7,6,0.7024570041232636,0.006979508910122063,0.0023093572012742886,8404.0,0.0070708986680155066,0.00029626092294467995,189792.0,0.0074667039715688825,0.0017217495273049667,15752.0
77,7,7,0.7024570041232636,0.006979118082807837,0.002309292996973017,8404.0,0.007123587927836787,0.0002973547882392456,189792.0,0.006556372549019609,0.0016141221198888564,15752.0
78,7,8,0.7024570041232636,0.006727878256406733,0.0022676329552771984,8404.0,0.007086705445961892,0.0002965895184251297,189792.0,0.007096613545816734,0.00167885054978644,15752.0
79,7,9,0.7024570041232636,0.007275947936815665,0.0023575376558476057,8404.0,0.007107781149890402,0.0002970270639008498,189792.0,0.007703209062211344,0.0017485964770802235,15752.0
80,8,0,1.3893941243489583,0.014101441075540481,0.002826543808577437,11360.0,0.013909930253830334,0.0004140445941709279,279872.0,0.014144443449282179,0.002361756987278828,16184.0
81,8,1,1.3893941243489583,0.013869138925494734,0.0028034956137498054,11360.0,0.013934941687628637,0.0004144114178869003,279872.0,0.014880952380952378,0.002421560670372779,16184.0
82,8,2,1.3893941243489583,0.014200231062742432,0.0028362853266339126,11360.0,0.014049279670706606,0.0004160839686871782,279872.0,0.014010721247563352,0.002350725808135148,16184.0
83,8,3,1.3893941243489583,0.01377031406070322,0.002793629542373176,11360.0,0.014142179281957467,0.00041743769358657147,279872.0,0.014631522463285855,0.0024014841488628575,16184.0
84,8,4,1.3893941243489583,0.013854843408568844,0.002802070709586713,11360.0,0.013874199634118458,0.0004135199630223221,279872.0,0.013265306122448979,0.002288202576480529,16184.0
85,8,5,1.3893941243489583,0.01382749612840679,0.0027993427345139005,11360.0,0.014245798079121892,0.00041894215331458716,279872.0,0.0140674084869051,0.0023554088019325944,16184.0
86,8,6,1.3893941243489583,0.013677393200684921,0.0027843191629572405,11360.0,0.014077864166476108,0.0004165009956398479,279872.0,0.01418711656441718,0.0023652657662960094,16184.0
87,8,7,1.3893941243489583,0.013876286683957684,0.0028042077786123174,11360.0,0.013799165332723535,0.00041241593936133976,279872.0,0.013261296660117878,0.0022878613918931837,16184.0
88,8,8,1.3893941243489583,0.013808382978559696,0.0027974344686366717,11360.0,0.014070718042533735,0.0004163967803563325,279872.0,0.014403244878567888,0.0023829527851704038,16184.0
89,8,9,1.3893941243489583,0.013952581901508346,0.00281179754203437,11360.0,0.013720557969357424,0.0004112559808106922,279872.0,0.013679979253112033,0.002323203624073852,16184.0
90,9,0,1.3549296061197917,0.013523716393731584,0.002768848592974161,11360.0,0.014070718042533736,0.0004163967803563325,279872.0,0.013366092526412408,0.002296761410799618,16184.0
91,9,1,1.3549296061197917,0.013385421475556152,0.002754848029615577,11360.0,0.013624085296135378,0.00040982765066864747,279872.0,0.01378105590062112,0.002331651022543871,16184.0
92,9,2,1.3549296061197917,0.013409159998897167,0.002757256584128207,11360.0,0.013331094214498065,0.00040545715597648115,279872.0,0.012722332015810276,0.0022414995298772984,16184.0
93,9,3,1.3549296061197917,0.013590376345439841,0.002775570408308191,11360.0,0.01357048936656758,0.0004090318558699565,279872.0,0.013967563830467713,0.002347153895847174,16184.0
94,9,4,1.3549296061197917,0.01352837664481507,0.0027693190809373325,11360.0,0.013341813400411623,0.0004056179286577716,279872.0,0.015435001059578185,0.0024655349368918663,16184.0
95,9,5,1.3549296061197917,0.013253187943991652,0.0027413904841907377,11360.0,0.013677681225703184,0.00041062181576863386,279872.0,0.014294581536354843,0.0023740776954794,16184.0
96,9,6,1.3549296061197917,0.013342534924778476,0.002750491035141388,11360.0,0.013520466498970958,0.0004082876353012079,279872.0,0.013234245018562891,0.0022855580319887914,16184.0
97,9,7,1.3549296061197917,0.013663097683759031,0.0027828838739659863,11360.0,0.01348830894123028,0.0004078084501115629,279872.0,0.01395326050367204,0.0023459688147889858,16184.0
98,9,8,1.3549296061197917,0.013399716992482042,0.002756298745385203,11360.0,0.013516893436999775,0.00040823442184196505,279872.0,0.01400609281913472,0.002350343012513977,16184.0
99,9,9,1.3549296061197917,0.013497455485421545,0.0027661957732351746,11360.0,0.013602646924308254,0.00040950952884463124,279872.0,0.012824252308682626,0.002250343930326475,16184.0
100,10,0,1.2887776692708335,0.013099476259448748,0.002725658942892877,11360.0,0.012834438600503088,0.00039793284444466717,279872.0,0.012611873130165811,0.0022318724930998016,16184.0
101,10,1,1.2887776692708335,0.013161510837663083,0.0027320193393329784,11360.0,0.012537874456894587,0.00039336755095074595,279872.0,0.01377427136899536,0.002331085024139088,16184.0
102,10,2,1.2887776692708335,0.012674219508493022,0.0026816290856176424,11360.0,0.013030957008918362,0.0004009278927581081,279872.0,0.011798668929310068,0.002159607651637713,16184.0
103,10,3,1.2887776692708335,0.012356144256891924,0.00264819233817261,11360.0,0.013281071346901445,0.0004047059920666782,279872.0,0.012889105058365758,0.0022559526874423425,16184.0
104,10,4,1.2887776692708335,0.012949408209316443,0.002710207382494751,11360.0,0.01286659615824377,0.0003984245668225595,279872.0,0.012766768292682928,0.002245360115119604,16184.0
105,10,5,1.2887776692708335,0.012788583643900158,0.0026935445640627323,11360.0,0.013055968442716672,0.00040130739096274026,279872.0,0.013466494845360825,0.002305254280709438,16184.0
106,10,6,1.2887776692708335,0.012923304682844118,0.0027075101757040444,11360.0,0.012666504687857303,0.0003953544936343473,279872.0,0.012902299163544479,0.002257091975468595,16184.0
107,10,7,1.2887776692708335,0.0128148445522102,0.002696272832834071,11360.0,0.0131310027441116,0.0004024436218497258,279872.0,0.01389014915367141,0.0023407322352044894,16184.0
108,10,8,1.2887776692708335,0.012925634808385864,0.0027077510563623597,11360.0,0.01284515778641665,0.0003980968229965442,279872.0,0.012188796680497924,0.002194588114663072,16184.0
109,10,9,1.2887776692708335,0.012862391354071363,0.002701205127284017,11360.0,0.01255216670477933,0.0003935888436458121,279872.0,0.0121481673582296,0.002190972471352602,16184.0
110,11,0,1.4092407226562509,0.014082688523948388,0.0028240870682435227,11365.0,0.014192857142857148,0.0004181969549583355,280000.0,0.01429656117811189,0.0023742005804159713,16185.0
111,11,1,1.4092407226562509,0.014160205028237392,0.0028317375022377848,11365.0,0.014121428571428573,0.0004171584072354387,280000.0,0.01416865860517435,0.002363709801207975,16185.0
112,11,2,1.4092407226562509,0.013962309978283231,0.002812162707169311,11365.0,0.014214285714285714,0.0004185079870054055,280000.0,0.01438955571141982,0.0023817974086682483,16185.0
113,11,3,1.4092407226562509,0.01425539065539338,0.002841101935893951,11365.0,0.014000000000000005,0.00041538656467047467,280000.0,0.013846544715447155,0.0023370684582351164,16185.0
114,11,4,1.4092407226562509,0.01416715864076034,0.0028324227143451293,11365.0,0.01398928571428572,0.0004152298413187326,280000.0,0.012512855711564741,0.002223168708272686,16185.0
115,11,5,1.4092407226562509,0.014226815961142609,0.0028382941739087723,11365.0,0.0142,0.0004183006595287679,280000.0,0.014970648769314667,0.0024286972098857256,16185.0
116,11,6,1.4092407226562509,0.014410262041296,0.0028562687913924155,11365.0,0.014071428571428568,0.00041642979162118067,280000.0,0.014244798953857189,0.0023699608842103898,16185.0
117,11,7,1.4092407226562509,0.014050732053956015,0.0028209267520516467,11365.0,0.013700000000000006,0.000410974400263604,280000.0,0.0143111886433459,0.0023753972212784587,16185.0
118,11,8,1.4092407226562509,0.01449470371974359,0.00286450247368231,11365.0,0.0139,0.00041392137090358566,280000.0,0.012135378842895183,0.00218979703237017,16185.0
119,11,9,1.4092407226562509,0.014101611612755742,0.0028259566920311938,11365.0,0.014335714285714285,0.0004202658959642923,280000.0,0.014797123201028575,0.0024147932765875317,16185.0
120,12,0,1.3051113552517362,0.013082885494570675,0.002723955239447518,11360.0,0.01338826320603705,0.0004063138343232085,279872.0,0.012089561723026769,0.002185746030382373,16184.0
121,12,1,1.3051113552517362,0.013130589678269553,0.0027288509516603986,11360.0,0.013059541504687857,0.0004013615741098498,279872.0,0.013069358178053832,0.0022714651574335942,16184.0
122,12,2,1.3051113552517362,0.013061442219181839,0.002721751566303328,11360.0,0.013102418248342098,0.00040201117129676147,279872.0,0.011976047904191617,0.0021755853794163046,16184.0
123,12,3,1.3051113552517362,0.013165084716894555,0.002732385292948833,11360.0,0.012948776583581074,0.00039967829529352666,279872.0,0.011726190476190477,0.002153043220888959,16184.0
124,12,4,1.3051113552517362,0.013140067562274243,0.0027298225309363515,11360.0,0.013327521152526873,0.0004054035501270152,279872.0,0.012888529119141526,0.002255902942283302,16184.0
125,12,5,1.3051113552517362,0.012979242996857958,0.0027132866701693507,11360.0,0.012830865538531909,0.00039787816910732444,279872.0,0.013347544268596901,0.0022951888123027672,16184.0
126,12,6,1.3051113552517362,0.012933868938700823,0.002708602092641458,11360.0,0.013038103132860744,0.0004010363594505366,279872.0,0.012525631725650575,0.002224325638955288,16184.0
127,12,7,1.3051113552517362,0.013101841262580054,0.002725901713311541,11360.0,0.013041676194831936,0.00040109058120029546,279872.0,0.012811302681992338,0.0022492222236598315,16184.0
128,12,8,1.3051113552517362,0.012796975156052836,0.0026944166819407927,11360.0,0.013177452549737019,0.00040314531059145115,279872.0,0.013480050743295037,0.002306398422004857,16184.0
129,12,9,1.3051113552517362,0.012978156625005947,0.0027131746089198417,11360.0,0.012898753715984455,0.0003989156506811476,279872.0,0.012957623892994081,0.0022618625864197638,16184.0
130,13,0,0.6623238457573788,0.006548511440742973,0.0017381812281301757,14161.0,0.006737310308738881,0.0002892096629453575,366912.0,0.006019609058599884,0.0015470228346651572,16410.0
131,13,1,0.6623238457573788,0.006583951552406586,0.0017428472548679042,14161.0,0.0066909776731205375,0.00028822021868039264,366912.0,0.006734404536862002,0.0016357087203817794,16410.0
132,13,2,0.6623238457573788,0.006582044354022314,0.0017425964807249433,14161.0,0.006655546834118262,0.00028746122391200556,366912.0,0.006731719367588932,0.0016353848001643746,16410.0
133,13,3,0.6623238457573788,0.006583132588355193,0.0017427395752725229,14161.0,0.00672095761381476,0.00028886084492852764,366912.0,0.007245666939257645,0.0016962261384963241,16410.0
134,13,4,0.6623238457573788,0.006600577797302051,0.00174503184292721,14161.0,0.00663919413919414,0.0002871102234703866,366912.0,0.006353815252882439,0.0015891205662114023,16410.0
